fecha,local,visitante,goles_local,goles_visitante,goles_totales,minutos_goles_local,minutos_goles_visitante,possessionPercentage_H,possessionPercentage_A,expectedGoals_H,expectedGoals_A,totalScoringAtt_H,totalScoringAtt_A,ontargetScoringAtt_H,ontargetScoringAtt_A,bigChanceMissed_H,bigChanceMissed_A,wonCorners_H,wonCorners_A,accuratePass_H,accuratePass_A,percentPass_H,percentPass_A,totalYelCard_H,totalYelCard_A,totalRedCard_H,totalRedCard_A,expectedGoalsOpenPlay_H,expectedGoalsOpenPlay_A,expectedGoalsSetPlay_H,expectedGoalsSetPlay_A,expectedGoalsOnTarget_H,expectedGoalsOnTarget_A,expectedGoalsConceded_H,expectedGoalsConceded_A,shotOffTarget_H,shotOffTarget_A,woodworkHit_H,woodworkHit_A,blockedScoringAtt_H,blockedScoringAtt_A,touchesInOppBox_H,touchesInOppBox_A,totalOffside_H,totalOffside_A,saves_H,saves_A,totalTackle_H,totalTackle_A,wonTackle_H,wonTackle_A,percentTackle_H,percentTackle_A,ballRecovery_H,ballRecovery_A,interception_H,interception_A,outfielderBlock_H,outfielderBlock_A,blockedCross_H,blockedCross_A,effectiveClearance_H,effectiveClearance_A,effectiveHeadClearance_H,effectiveHeadClearance_A,totalPass_H,totalPass_A,totalAttAssist_H,totalAttAssist_A,totalCross_H,totalCross_A,accurateCross_H,accurateCross_A,percentCross_H,percentCross_A,duelsWon_H,duelsWon_A,duelsPercent_H,duelsPercent_A,groundDuelsWon_H,groundDuelsWon_A,groundDuelsPercent_H,groundDuelsPercent_A,aerialWon_H,aerialWon_A,aerialPercent_H,aerialPercent_A,totalContest_H,totalContest_A,wonContest_H,wonContest_A,percentContest_H,percentContest_A,fkFoulLost_H,fkFoulLost_A,fkFoulWon_H,fkFoulWon_A,detalle,match_officials,url_stats,url_teams
"8:00pm, Friday 15th August 2025",Liverpool,Bournemouth,4,2,6,"37, 49, 88, 94","64, 76",61.2,38.8,2.21,1.7,19,10,10,3,2,2,6,7,401,209,82.0,69.9,1,2,0,0,1.73,1.56,0.48,0.14,3.05,0.81,1.7,2.21,7,4,0,0,2,3,36,28,2,2,1,6,16,20,13,12,81.3,60.0,52,54,4,11,3,2,1,0,41,45,29,14,489,299,15,8,17,20,5,5,29.4,25.0,63,52,54.8,45.2,34,34,50.0,50.0,29,18,61.7,38.3,17,19,8,8,47.1,42.1,7,10,10,6,"Liverpool
                          vs Bournemouth. Premier League. 8:00pm, Friday 15th August 2025. Anfield Attendance: Attendance 60,315. Get Sky Sports Get a NOW Sports Membership Watch Live (function() {
                            function showDefaultLinks() {
                              let isSkySportsTemplate = document.querySelector('[data-role=""update-links""] [data-role=""isSkySports""]');
                              isSkySportsTemplate.style.display = ""none"";
                            }
                
                            function showIsSkySportsLinks() {
                              let defaultTemplate = document.querySelector('[data-role=""update-links""] [data-role=""default""]');
                              defaultTemplate.style.display = ""none"";
                            }
                
                            const shouldShowSkySportsLinks = window.SKY_SPORTS && window.SKY_SPORTS.user.isSkySports;
                
                            if (shouldShowSkySportsLinks) {
                              showIsSkySportsLinks()
                              return;
                            }
                
                            showDefaultLinks();
                          }());",Referee: Anthony Taylor Fourth official: Farai Hallam VAR: Michael Oliver Assistant VAR: Thomas Bramall,https://www.skysports.com/football/liverpool-vs-bournemouth/stats/531129,https://www.skysports.com/football/liverpool-vs-bournemouth/teams/531129
"12:30pm, Saturday 16th August 2025",Aston Villa,Newcastle United,0,0,0,,,39.9,60.1,0.2,1.43,3,16,3,3,1,2,3,6,227,376,73.2,83.4,1,1,1,0,0.15,1.37,0.05,0.07,0.2,0.64,1.43,0.2,0,6,0,0,0,7,14,33,2,1,3,3,11,10,5,8,45.5,80.0,50,63,10,12,7,0,2,2,20,22,10,8,310,451,3,14,11,26,3,6,27.3,23.1,40,43,48.2,51.8,30,23,56.6,43.4,10,20,33.3,66.7,15,10,9,2,60.0,20.0,13,11,11,13,"Aston Villa
                          vs Newcastle United. Premier League. 12:30pm, Saturday 16th August 2025. Villa Park Attendance: Attendance 42,526. Get Sky Sports Get a NOW Sports Membership Watch Live (function() {
                            function showDefaultLinks() {
                              let isSkySportsTemplate = document.querySelector('[data-role=""update-links""] [data-role=""isSkySports""]');
                              isSkySportsTemplate.style.display = ""none"";
                            }
                
                            function showIsSkySportsLinks() {
                              let defaultTemplate = document.querySelector('[data-role=""update-links""] [data-role=""default""]');
                              defaultTemplate.style.display = ""none"";
                            }
                
                            const shouldShowSkySportsLinks = window.SKY_SPORTS && window.SKY_SPORTS.user.isSkySports;
                
                            if (shouldShowSkySportsLinks) {
                              showIsSkySportsLinks()
                              return;
                            }
                
                            showDefaultLinks();
                          }());",Referee: Craig Pawson Fourth official: Simon Hooper VAR: Peter Bankes Assistant VAR: Tim Robinson,https://www.skysports.com/football/aston-villa-vs-newcastle-united/stats/531130,https://www.skysports.com/football/aston-villa-vs-newcastle-united/teams/531130
"3:00pm, Saturday 16th August 2025",Brighton and Hove Albion,Fulham,1,1,2,55,96,49.8,50.2,1.48,0.76,10,7,4,2,1,0,4,3,374,349,87.6,82.5,3,3,0,0,0.57,0.61,0.11,0.15,1.02,0.73,0.76,1.48,5,4,0,0,1,1,25,19,3,2,1,3,19,15,9,8,47.4,53.3,42,38,9,2,1,1,0,0,27,15,12,7,427,423,7,5,11,14,4,3,36.4,21.4,51,44,53.7,46.3,37,34,52.1,47.9,14,10,58.3,41.7,11,13,4,5,36.4,38.5,16,15,15,16,"Brighton and Hove Albion
                          vs Fulham. Premier League. 3:00pm, Saturday 16th August 2025. Amex Stadium Attendance: Attendance 31,478. Get Sky Sports Get a NOW Sports Membership Watch Live (function() {
                            function showDefaultLinks() {
                              let isSkySportsTemplate = document.querySelector('[data-role=""update-links""] [data-role=""isSkySports""]');
                              isSkySportsTemplate.style.display = ""none"";
                            }
                
                            function showIsSkySportsLinks() {
                              let defaultTemplate = document.querySelector('[data-role=""update-links""] [data-role=""default""]');
                              defaultTemplate.style.display = ""none"";
                            }
                
                            const shouldShowSkySportsLinks = window.SKY_SPORTS && window.SKY_SPORTS.user.isSkySports;
                
                            if (shouldShowSkySportsLinks) {
                              showIsSkySportsLinks()
                              return;
                            }
                
                            showDefaultLinks();
                          }());",Referee: Samuel Barrott Fourth official: Thomas Bramall VAR: Matt Donohue Assistant VAR: Dan Robathan,https://www.skysports.com/football/brighton-and-hove-albion-vs-fulham/stats/531131,https://www.skysports.com/football/brighton-and-hove-albion-vs-fulham/teams/531131
"3:00pm, Saturday 16th August 2025",Sunderland,West Ham United,3,0,3,"61, 73, 92",,37.2,62.8,0.75,0.56,10,12,5,4,2,0,5,7,250,468,77.4,85.1,0,1,0,0,0.52,0.43,0.23,0.13,1.64,0.37,0.56,0.75,4,2,0,0,1,6,15,28,0,0,4,2,14,12,5,7,35.7,58.3,38,42,9,4,6,1,5,4,32,16,15,12,323,550,7,7,17,26,5,5,29.4,19.2,42,46,47.7,52.3,24,27,47.1,52.9,18,19,48.6,51.4,7,15,1,7,14.3,46.7,8,10,10,8,"Sunderland
                          vs West Ham United. Premier League. 3:00pm, Saturday 16th August 2025. Stadium of Light Attendance: Attendance 46,233. Get Sky Sports Get a NOW Sports Membership Watch Live (function() {
                            function showDefaultLinks() {
                              let isSkySportsTemplate = document.querySelector('[data-role=""update-links""] [data-role=""isSkySports""]');
                              isSkySportsTemplate.style.display = ""none"";
                            }
                
                            function showIsSkySportsLinks() {
                              let defaultTemplate = document.querySelector('[data-role=""update-links""] [data-role=""default""]');
                              defaultTemplate.style.display = ""none"";
                            }
                
                            const shouldShowSkySportsLinks = window.SKY_SPORTS && window.SKY_SPORTS.user.isSkySports;
                
                            if (shouldShowSkySportsLinks) {
                              showIsSkySportsLinks()
                              return;
                            }
                
                            showDefaultLinks();
                          }());",Referee: Robert Jones Fourth official: Anthony Taylor VAR: Stuart Attwell Assistant VAR: Natalie Aspinall,https://www.skysports.com/football/sunderland-vs-west-ham-united/stats/531133,https://www.skysports.com/football/sunderland-vs-west-ham-united/teams/531133
"3:00pm, Saturday 16th August 2025",Tottenham Hotspur,Burnley,3,0,3,"10, 60, 66",,67.3,32.7,2.32,0.94,16,14,6,4,1,1,6,5,451,181,88.3,73.6,0,0,0,0,1.66,0.75,0.67,0.19,2.61,1.07,0.94,2.32,9,7,0,0,1,3,26,25,0,4,4,3,12,6,9,2,75.0,33.3,38,32,1,7,2,1,4,3,26,25,17,19,511,246,12,12,27,14,8,3,29.6,21.4,47,45,51.1,48.9,30,27,52.6,47.4,17,18,48.6,51.4,14,10,11,7,78.6,70.0,14,8,7,14,"Tottenham Hotspur
                          vs Burnley. Premier League. 3:00pm, Saturday 16th August 2025. Tottenham Hotspur Stadium Attendance: Attendance 61,077. Get Sky Sports Get a NOW Sports Membership Watch Live (function() {
                            function showDefaultLinks() {
                              let isSkySportsTemplate = document.querySelector('[data-role=""update-links""] [data-role=""isSkySports""]');
                              isSkySportsTemplate.style.display = ""none"";
                            }
                
                            function showIsSkySportsLinks() {
                              let defaultTemplate = document.querySelector('[data-role=""update-links""] [data-role=""default""]');
                              defaultTemplate.style.display = ""none"";
                            }
                
                            const shouldShowSkySportsLinks = window.SKY_SPORTS && window.SKY_SPORTS.user.isSkySports;
                
                            if (shouldShowSkySportsLinks) {
                              showIsSkySportsLinks()
                              return;
                            }
                
                            showDefaultLinks();
                          }());",Referee: Michael Oliver Fourth official: Adam Herczeg VAR: Neil Davies Assistant VAR: John Brooks,https://www.skysports.com/football/tottenham-hotspur-vs-burnley/stats/531134,https://www.skysports.com/football/tottenham-hotspur-vs-burnley/teams/531134
"5:30pm, Saturday 16th August 2025",Wolverhampton Wanderers,Manchester City,0,4,4,,"34, 61, 37, 81",41.6,58.4,0.56,2.47,9,15,3,4,0,2,4,5,326,510,82.7,90.6,1,2,0,0,0.46,1.96,0.1,0.51,0.74,2.27,2.47,0.56,3,7,0,0,3,4,19,28,4,0,0,3,25,18,17,11,68.0,61.1,41,40,6,7,4,3,1,3,20,22,6,12,394,563,7,9,20,20,4,6,20.0,30.0,42,55,43.3,56.7,37,45,45.1,54.9,5,10,33.3,66.7,9,25,5,14,55.6,56.0,13,7,7,13,"Wolverhampton Wanderers
                          vs Manchester City. Premier League. 5:30pm, Saturday 16th August 2025. Molineux Attendance: Attendance 31,118. Get Sky Sports Get a NOW Sports Membership Watch Live (function() {
                            function showDefaultLinks() {
                              let isSkySportsTemplate = document.querySelector('[data-role=""update-links""] [data-role=""isSkySports""]');
                              isSkySportsTemplate.style.display = ""none"";
                            }
                
                            function showIsSkySportsLinks() {
                              let defaultTemplate = document.querySelector('[data-role=""update-links""] [data-role=""default""]');
                              defaultTemplate.style.display = ""none"";
                            }
                
                            const shouldShowSkySportsLinks = window.SKY_SPORTS && window.SKY_SPORTS.user.isSkySports;
                
                            if (shouldShowSkySportsLinks) {
                              showIsSkySportsLinks()
                              return;
                            }
                
                            showDefaultLinks();
                          }());",Referee: Jarred Gillet Fourth official: David Webb VAR: Michael Salisbury Assistant VAR: Richard West,https://www.skysports.com/football/wolverhampton-wanderers-vs-manchester-city/stats/531135,https://www.skysports.com/football/wolverhampton-wanderers-vs-manchester-city/teams/531135
"2:00pm, Sunday 17th August 2025",Chelsea,Crystal Palace,0,0,0,,,71.5,28.5,1.6,0.66,19,11,3,4,2,1,11,2,510,168,89.8,74.3,2,3,0,0,1,0.36,0.6,0.3,0.65,0.26,0.66,1.6,7,3,0,0,9,4,31,8,0,0,4,2,13,16,6,13,46.2,81.3,39,35,11,7,4,10,0,2,19,41,10,25,568,226,10,5,29,11,6,1,20.7,9.1,52,47,52.5,47.5,35,31,53.0,47.0,17,16,51.5,48.5,24,7,12,5,50.0,71.4,10,12,10,10,"Chelsea
                          vs Crystal Palace. Premier League. 2:00pm, Sunday 17th August 2025. Stamford Bridge Attendance: Attendance 39,678. Get Sky Sports Get a NOW Sports Membership Watch Live (function() {
                            function showDefaultLinks() {
                              let isSkySportsTemplate = document.querySelector('[data-role=""update-links""] [data-role=""isSkySports""]');
                              isSkySportsTemplate.style.display = ""none"";
                            }
                
                            function showIsSkySportsLinks() {
                              let defaultTemplate = document.querySelector('[data-role=""update-links""] [data-role=""default""]');
                              defaultTemplate.style.display = ""none"";
                            }
                
                            const shouldShowSkySportsLinks = window.SKY_SPORTS && window.SKY_SPORTS.user.isSkySports;
                
                            if (shouldShowSkySportsLinks) {
                              showIsSkySportsLinks()
                              return;
                            }
                
                            showDefaultLinks();
                          }());",Referee: Darren England Fourth official: Michael Salisbury VAR: James Bell Assistant VAR: Adam Nunn,https://www.skysports.com/football/chelsea-vs-crystal-palace/stats/531136,https://www.skysports.com/football/chelsea-vs-crystal-palace/teams/531136
"2:00pm, Sunday 17th August 2025",Nottingham Forest,Brentford,3,1,4,"5, 45, 42",78,54.4,45.6,1.83,1.49,11,10,5,3,2,0,5,5,343,271,82.3,78.3,1,2,0,0,1.76,0.45,0.07,0.25,2.43,1.47,1.49,1.83,4,4,0,0,2,3,25,19,2,0,2,2,12,20,7,6,58.3,30.0,48,52,9,5,3,2,2,2,24,27,10,11,417,346,9,7,24,16,5,3,20.8,18.8,53,48,52.5,47.5,33,32,50.8,49.2,20,16,55.6,44.4,15,14,9,7,60.0,50.0,7,15,15,5,"Nottingham Forest
                          vs Brentford. Premier League. 2:00pm, Sunday 17th August 2025. The City Ground Attendance: Attendance 29,949. Get Sky Sports Get a NOW Sports Membership Watch Live (function() {
                            function showDefaultLinks() {
                              let isSkySportsTemplate = document.querySelector('[data-role=""update-links""] [data-role=""isSkySports""]');
                              isSkySportsTemplate.style.display = ""none"";
                            }
                
                            function showIsSkySportsLinks() {
                              let defaultTemplate = document.querySelector('[data-role=""update-links""] [data-role=""default""]');
                              defaultTemplate.style.display = ""none"";
                            }
                
                            const shouldShowSkySportsLinks = window.SKY_SPORTS && window.SKY_SPORTS.user.isSkySports;
                
                            if (shouldShowSkySportsLinks) {
                              showIsSkySportsLinks()
                              return;
                            }
                
                            showDefaultLinks();
                          }());",Referee: Peter Bankes Fourth official: Craig Pawson VAR: Andy Madley Assistant VAR: Sian Massey,https://www.skysports.com/football/nottingham-forest-vs-brentford/stats/531132,https://www.skysports.com/football/nottingham-forest-vs-brentford/teams/531132
"4:30pm, Sunday 17th August 2025",Manchester United,Arsenal,0,1,1,,13,61.1,38.9,1.52,1.31,22,9,7,3,0,0,3,4,393,219,82.7,74.5,1,4,0,0,1.29,0.28,0.23,1.02,0.75,1.21,1.31,1.52,7,3,1,0,8,3,36,20,1,2,2,7,22,18,11,10,50.0,55.6,47,50,4,4,3,8,0,0,23,30,10,13,475,294,17,5,15,11,3,2,20.0,18.2,70,53,56.9,43.1,47,37,56.0,44.0,23,16,59.0,41.0,13,25,9,9,69.2,36.0,10,19,19,10,"Manchester United
                          vs Arsenal. Premier League. 4:30pm, Sunday 17th August 2025. Old Trafford Attendance: Attendance 73,475. Get Sky Sports Get a NOW Sports Membership Watch Live (function() {
                            function showDefaultLinks() {
                              let isSkySportsTemplate = document.querySelector('[data-role=""update-links""] [data-role=""isSkySports""]');
                              isSkySportsTemplate.style.display = ""none"";
                            }
                
                            function showIsSkySportsLinks() {
                              let defaultTemplate = document.querySelector('[data-role=""update-links""] [data-role=""default""]');
                              defaultTemplate.style.display = ""none"";
                            }
                
                            const shouldShowSkySportsLinks = window.SKY_SPORTS && window.SKY_SPORTS.user.isSkySports;
                
                            if (shouldShowSkySportsLinks) {
                              showIsSkySportsLinks()
                              return;
                            }
                
                            showDefaultLinks();
                          }());",Referee: Simon Hooper Fourth official: Jarred Gillet VAR: Paul Tierney Assistant VAR: Steven Meredith,https://www.skysports.com/football/manchester-united-vs-arsenal/stats/531137,https://www.skysports.com/football/manchester-united-vs-arsenal/teams/531137
"8:00pm, Monday 18th August 2025",Leeds United,Everton,1,0,1,84,,54.4,45.6,2.13,0.8,21,7,3,1,2,1,7,2,401,324,83.4,78.8,0,2,0,0,1.04,0.05,0.3,0.76,1.07,0.1,0.8,2.13,7,3,0,0,11,3,28,14,1,2,1,2,15,16,7,12,46.7,75.0,41,37,9,2,3,10,0,2,30,31,17,16,481,411,12,3,26,11,7,4,26.9,36.4,45,47,48.9,51.1,27,28,49.1,50.9,18,19,48.6,51.4,15,18,6,6,40.0,33.3,6,8,7,6,"Leeds United
                          vs Everton. Premier League. 8:00pm, Monday 18th August 2025. Elland Road Attendance: Attendance 36,820. Get Sky Sports Get a NOW Sports Membership Watch Live (function() {
                            function showDefaultLinks() {
                              let isSkySportsTemplate = document.querySelector('[data-role=""update-links""] [data-role=""isSkySports""]');
                              isSkySportsTemplate.style.display = ""none"";
                            }
                
                            function showIsSkySportsLinks() {
                              let defaultTemplate = document.querySelector('[data-role=""update-links""] [data-role=""default""]');
                              defaultTemplate.style.display = ""none"";
                            }
                
                            const shouldShowSkySportsLinks = window.SKY_SPORTS && window.SKY_SPORTS.user.isSkySports;
                
                            if (shouldShowSkySportsLinks) {
                              showIsSkySportsLinks()
                              return;
                            }
                
                            showDefaultLinks();
                          }());",Referee: Chris Kavanagh Fourth official: Andrew Kitchen VAR: John Brooks Assistant VAR: Simon Bennett,https://www.skysports.com/football/leeds-united-vs-everton/stats/531138,https://www.skysports.com/football/leeds-united-vs-everton/teams/531138
