Date,Time,local,visit,g_loc,g_vis,m_loc,m_vis,PossH,PossA,TSH,TSA,On_TargetH,On_TargetA,Off_TargetH,Off_TargetA,BlockedH,BlockedA,PassingpcH,PassingpcA,ClearCutChancesH,ClearCutChancesA,CornersH,CornersA,OffsidesH,OffsidesA,TacklespcH,TacklespcA,AerialDuelspcH,AerialDuelspcA,SavesH,SavesA,FoulsCommittedH,FoulsCommittedA,FoulsWonH,FoulsWonA,YellowCardsH,YellowCardsA,RedCardsH,RedCardsA,Stadium,Attendance,Referee,Assistants,Fourth_official
17/12/2023,14:00,Brentford,A Villa,1,2,[45],"[77, 85]",32.8,67.2,4.0,15.0,3.0,5.0,1.0,6.0,0.0,4.0,68.0,85.0,1.0,4.0,7.0,12.0,7.0,0.0,48.5,91.7,33.3,66.7,3.0,2.0,19.0,6.0,6.0,18.0,6.0,4.0,1.0,1.0,Gtech Community Stadium,17034,David Coote,Simon Hooper,Craig Pawson
17/12/2023,14:00,West Ham,Wolves,3,0,"[22, 32, 74]",[],44.2,55.8,13.0,14.0,4.0,3.0,5.0,4.0,4.0,7.0,79.2,84.3,1.0,0.0,6.0,6.0,1.0,2.0,66.7,52.0,56.8,43.2,3.0,1.0,12.0,15.0,15.0,11.0,3.0,1.0,0.0,0.0,London Stadium,62455,Chris Kavanagh,Graham Scott,Jarred Gillet
17/12/2023,16:30,Liverpool,Man Utd,0,0,[],[],68.3,31.7,34.0,6.0,8.0,1.0,13.0,4.0,13.0,1.0,84.0,71.3,1.0,1.0,12.0,0.0,4.0,2.0,54.2,58.8,42.3,57.7,2.0,8.0,13.0,8.0,8.0,13.0,2.0,4.0,0.0,1.0,Anfield,57158,Michael Oliver,Anthony Taylor,John Brooks
16/12/2023,15:00,Chelsea,Sheff Utd,2,0,"[54, 61]",[],77.7,22.3,15.0,6.0,6.0,1.0,4.0,1.0,5.0,4.0,90.8,61.1,4.0,0.0,7.0,6.0,3.0,1.0,31.3,53.6,45.5,54.5,1.0,4.0,9.0,14.0,14.0,9.0,1.0,3.0,0.0,0.0,Stamford Bridge,39599,Andy Madley,Robert Jones,Peter Bankes
16/12/2023,15:00,Man City,C Palace,2,2,"[24, 54]","[76, 90]",74.2,25.8,19.0,5.0,9.0,2.0,5.0,1.0,5.0,2.0,91.8,75.8,4.0,1.0,6.0,1.0,2.0,1.0,15.4,21.4,64.3,35.7,0.0,7.0,12.0,9.0,9.0,12.0,1.0,1.0,0.0,0.0,Etihad Stadium.,,Paul Tierney,Darren England,Stuart Attwell
16/12/2023,15:00,Newcastle,Fulham,3,0,"[57, 64, 82]",[],70.8,29.2,27.0,6.0,10.0,4.0,10.0,2.0,7.0,0.0,90.4,77.0,5.0,0.0,5.0,1.0,2.0,0.0,54.5,50.0,81.0,19.0,4.0,7.0,7.0,12.0,12.0,7.0,0.0,2.0,0.0,1.0,"""St James Park",52055,Samuel Barrott,Oliver Langford,Michael Salisbury
16/12/2023,17:30,Burnley,Everton,0,2,[],"[19, 25]",62.1,37.9,14.0,9.0,2.0,6.0,3.0,3.0,9.0,0.0,84.9,71.8,0.0,4.0,8.0,6.0,0.0,4.0,50.0,91.7,47.8,52.2,4.0,2.0,9.0,8.0,8.0,9.0,0.0,1.0,0.0,0.0,Turf Moor,21413,Anthony Taylor,Thomas Bramall,Chris Kavanagh
15/12/2023,20:00,N Forest,Tottenham,0,2,[],"[45, 65]",32.7,67.3,15.0,12.0,1.0,6.0,8.0,2.0,6.0,4.0,73.4,88.8,2.0,2.0,6.0,4.0,5.0,0.0,65.5,57.9,41.9,58.1,4.0,1.0,16.0,11.0,10.0,15.0,2.0,4.0,0.0,1.0,The City Ground,29296,Jarred Gillet,Peter Bankes,Michael Oliver
10/12/2023,14:00,Everton,Chelsea,2,0,"[54, 90]",[],27.9,72.1,9.0,16.0,5.0,4.0,2.0,6.0,2.0,6.0,64.1,86.8,1.0,0.0,4.0,8.0,2.0,1.0,56.5,70.0,46.9,53.1,4.0,3.0,12.0,12.0,11.0,11.0,2.0,2.0,0.0,0.0,Goodison Park,39280,Michael Oliver,Tony Harrington,Stuart Attwell
10/12/2023,14:00,Fulham,West Ham,5,0,"[22, 31, 40, 60, 88]",[],63.2,36.8,14.0,9.0,8.0,5.0,5.0,3.0,1.0,1.0,89.2,83.7,4.0,2.0,3.0,6.0,0.0,0.0,42.9,70.0,73.7,26.3,5.0,3.0,5.0,10.0,9.0,5.0,2.0,1.0,0.0,0.0,Craven Cottage,23988,Paul Tierney,Steve Martin,David Coote
10/12/2023,14:00,Luton,Man City,1,2,[45],"[62, 65]",34.7,65.3,4.0,18.0,2.0,6.0,2.0,7.0,0.0,5.0,74.2,86.4,1.0,3.0,6.0,3.0,1.0,1.0,40.0,47.6,40.0,60.0,4.0,1.0,16.0,6.0,5.0,15.0,2.0,1.0,0.0,0.0,Kenilworth Road,11047,Tim Robinson,Craig Pawson,Jarred Gillet
